index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"113","许三观卖血记（2017精装典藏版，增录新版自序）","129685","100","余华","北京十月文艺出版社","27.20","39.50"
"114","瓦尔登湖（经典新读 中央编译出版社）","120544","100","梭罗","中央编译出版社","13.40","26.80"
"115","白鸟与蝙蝠（东野圭吾出道35周年，荣耀新高峰！）","75586","100","东野圭吾","南海出版公司","34.50","69.00"
"116","你的善良必须有点锋芒","549065","99.9","慕颜歌","古吴轩出版社","15.70","32.80"
"117","小学生安全漫画・女童安全（坏人一直在出没，现在、立刻、马上，帮助女孩建立防护意识，远离性侵害！）（小学生安全漫画系列）","23353","100","读客小学生阅读研究社.安全组","江苏凤凰文艺出版社","16.40","32.80"
"118","盛和塾指定学习教材 干法 最新平装本","157998","100","稻盛和夫","机械工业出版社","24.50","49.00"
"119","崔玉涛育儿百科","149772","100","崔玉涛","中信出版社","89.00","178.00"
"120","米小圈上学记一年级（套装共4册）","675479","100","北猫","四川少儿出版社","45.00","100.00"
"121","千与千寻（宫崎骏作品。日本上映20周年特别纪念！）","75004","100","宫崎骏原作","北京联合出版有限公司","56.20","78.00"
"122","沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之书。胡军、于和伟主演电视剧岁月原著。2021版）","162744","99.8","阎真","北京十月文艺出版社","24.50","49.00"
"123","星期六晚我们去散步吧（随机掉落签名版。小红书博主、青年诗人 隔花人 温暖治愈诗集来袭！）","28034","100","隔花人","贵州人民出版社","29.88","49.80"
"124","孩子读得懂的山海经（共3册）神话+神兽+异人国","299984","100","兰梦醒","北京理工大学出版社","85.40","219.00"
"125","我想要两颗西柚（大张伟私藏书单，力荐阅读。你们是平等的，那个人有权利知道，此刻的你正在喜欢Ta。）","72561","99.9","胡辛束","浙江文艺出版社","22.50","45.00"
"126","次第花开 修订版","791295","100","希阿荣博堪布","海南出版社","19.90","39.80"
"127","恶意（东野圭吾四大杰作之一。最大的恶意不是杀了你，而是毁了你。颠覆推理，直面人性深渊！2022新译本）","862820","100","东野圭吾","南海出版公司","29.50","59.00"
"128","达勒古特梦百货店","2214","100","李美芮","化学工业出版社","42.20","48.00"
"129","新史纪丛书・红白玫瑰：15世纪英格兰两大家族的王权争夺与都铎王朝的开启（精装）","801","99.9","埃德・韦斯特","化学工业出版社","48.80","49.80"
"130","道德经（中华经典名著全本全注全译-三全本）","66912","100","张景","中华书局","19.50","30.00"
"131","我不想离开你","54031","100","G.V.西纳顿","四川少年儿童出版社","17.10","45.00"
"132","彩虹色的花","344944","100","麦克","二十一世纪出版社","20.70","46.00"
"133","悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版呈现。）","87393","100","赫尔曼・黑塞","民主与建设出版社","34.90","49.80"
"134","俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社","299076","100","冯骥才","人民文学出版社","28.00","28.00"
"135","牙婆婆 （儿童医师张思莱倾情推荐。愉快教导孩子保护牙齿的妈妈书！小朋友，你喜欢甜食吗？吃过甜食，你有好好刷牙吗？送给爱吃甜食的你！）","145927","100","�i田澄子","北京联合出版公司","16.20","36.00"
"136","如何说孩子才会听 怎么听孩子才肯说（全新修订版）","1063811","99.9","玛兹丽施","中央编译出版社","18.40","36.80"
"137","呼兰河传（《呼兰河传》和《生死场》的合编本，萧红的主要作品）","299137","99.7","萧红","北京联合出版公司","13.80","28.80"
"138","神奇的答案之书","55415","99.8","梅森","吉林美术出版社","17.50","35.00"
"139","我的自然笔记： 和大自然做游戏","485","100","芮东莉","湖南科技出版社","27.10","29.80"
"140","最好的方法给孩子","54394","99.9","王芳","东方出版社","28.60","39.80"
"141","历史的启示：史学大师讲古人，有料好读不枯燥","152","100","吴晗","中国友谊出版公司","48.20","52.00"
"142","显微镜下的大明（张若昀、王阳、戚薇、吴刚主演同名影视剧原著，全新明朝历史书）","200203","100","马伯庸","湖南文艺出版社","26.00","52.00"
"143","心 稻盛和夫的一生嘱托","216551","100","稻盛和夫","人民邮电出版社","29.50","59.00"
"144","写给儿童的中国地理（全14册）","367344","99.9","陈卫平","新世界出版社","152.80","392.00"
"145","杨绛传：永不褪色的优雅（精装版 附赠书签）","273","100","吴玲","青岛出版社","25.00","30.00"
"146","夏洛的网(2020版）（三年级阅读经典书目）","1229896","99.4","怀特","上海译文出版社","25.50","37.00"
"147","黄帝内经全集（全译图解版）中医养生本源之书","52708","99.9","肖建喜","吉林科学技术出版社","49.90","99.90"
"148","绿野仙踪（原版插图本，影响孩子成长的经典童话，儿童文学翻译家张炽恒未删节全译）","165172","100","莱曼・弗兰克・鲍姆","北京联合出版公司","9.40","20.00"
"149","漫画小学生心理 全4册 自信力自控力社交力积极力  儿童心理健康教育漫画书 发展认知行为情绪管理与性格培养绘本故事书籍","3179","100","翰图","广东人民出版社","69.80","140.00"
"150","少年抑郁症（每5个孩子，就有1个可能抑郁！原北京回龙观医院主治医师，分析17个家庭的真实案例。送给中国父母的“心理养育课”）","8347","100","真实故事计划","台海出版社","28.00","56.00"
"151","曹文轩文集典藏版（全7册，青铜葵花，草房子，跟鸟，三角地，细米，山羊不吃天堂草，甜橙树）","413777","99.3","曹文轩","天天出版社有限责任公司","58.80","168.00"
"152","走遍世界 图说天下 寻梦之旅","217373","100","王秀莉","四川人民出版社","20.00","29.90"
"153","新史纪丛书・1066：诺曼征服前后的英格兰（精装）","433","100","埃德・韦斯特","化学工业出版社","48.80","49.80"
"154","文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）","381351","100","余华","北京十月文艺出版社","29.50","59.00"
"155","猜猜我有多爱你（3-8岁）信谊世界精选图画书","242990","100","山姆・麦克布雷尼","明天出版社","21.90","43.80"
"156","皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命）","1328372","99.9","蔡崇达","天津人民出版社","24.90","49.80"
"157","追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜超100周）","1131923","100","卡勒德・胡赛尼","上海人民出版社","32.40","45.00"
"158","和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）","37856","99.9","关航","海豚出版社","67.50","150.00"
"159","霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的所有可能）","887822","100","哥伦比亚","南海出版公司","34.50","69.00"
"160","钱锺书传（先生的1910到1998）","123","100","林希美","台海出版社","49.00","49.00"
"161","情商这门课，只能父母教（当当定制情绪温度计海报）著名教育专家唐雯倾心打造","16735","100","唐雯","江苏凤凰文艺出版社","19.90","39.80"
"162","我与地坛","112641","100","史铁生","人民文学出版社","24.20","32.00"
