index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"247","最温柔的教养：做温和而坚定的父母，让爱在对话中流动","7472","100","吴恩瑛","中信出版社","38.40","59.00"
"248","中华人民共和国民法典（实用版）2021年1月起正式施行  团购电话：4001066666转6","292425","99.9","中国法制出版社","中国法制出版社","29.20","65.00"
"249","钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。)","412687","99.8","渡边淳一","青岛出版社","16.00","32.00"
"250","果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和夫推崇的生活方式手册；费勇教授精美译文）","119397","99.9","袁了凡","三秦出版社","22.00","32.00"
"251","外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大的冒险。销量突破100万册。随书附赠一封神秘道歉信）","571869","99.9","弗雷德里克・巴克曼","天津人民出版社","29.00","42.00"
"252","见识城邦・人类简史：从动物到上帝（新版）","719765","99.9","尤瓦尔・赫拉利","中信出版社","46.90","68.00"
"253","山海经（白话全译彩图版珍藏版）","317487","99.7","徐客","现代出版社","34.00","68.00"
"254","西游记原著版（上、下册）（团购电话:400-1066666转6）","358656","99.2","吴承恩","人民文学出版社","26.90","47.20"
"255","哈利・波特与阿兹卡班囚徒  (平装)（《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版）","86999","99.9","J.K.罗琳","人民文学出版社","30.40","49.00"
"256","玩偶之家  培尔・金特（挪威易卜生中心官方认证简体中文版）","18256","100","易卜生","民主与建设出版社","30.60","68.00"
"257","余秋雨 文化苦旅","488531","99.8","余秋雨","长江文艺出版社","19.00","38.00"
"258","民族的重建：波兰、乌克兰、立陶宛、白俄罗斯，1569―1999","6667","99.9","蒂莫西・斯奈德","南京大学出版社","34.00","68.00"
"259","三毛全集02：撒哈拉的故事","415849","100","三毛","北京十月文艺出版社","24.10","35.00"
"260","半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决青春期困扰！爆笑全解生理知识）","57197","100","陈磊・半小时漫画团队","天津科学技术出版社","24.50","49.00"
"261","这样跟孩子定规矩，孩子最不会抵触（家庭教育畅销经典，专治各种“我不听”！）","293352","99.8","乔治・M・卡帕卡","北京联合出版公司","12.40","24.90"
"262","人生的枷锁（又译《人性的枷锁》，毛姆自认的完美作品，写给在现实中迷茫的每一个人）","84631","99.8","威廉・萨默赛特・毛姆","作家出版社","24.50","50.00"
"263","从零开始的女性主义","20838","100","上野千鹤子","北京联合出版有限公司","26.00","52.00"
"264","丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）","139962","99.9","莫言","浙江文艺出版社","31.00","69.00"
"265","我的第一本地理启蒙书","935157","100","郑利强","新世界出版社","24.90","49.80"
"266","嫦娥探月立体书","37319","100","王倩","陕西人民教育出版社","69.00","138.00"
"267","哈利・波特与凤凰社  (平装)（《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版）","78719","99.8","J.K.罗琳","人民文学出版社","55.20","89.00"
"268","我与地坛（纪念版）","257416","99.8","史铁生","人民文学出版社","22.90","29.00"
"269","爱，需要学习（为中国式亲密关系度身定制的实践指南，心理学者陈海贤教你拥有高质量亲密关系）","5781","100","陈海贤","新星出版社","49.00","69.00"
"270","《去见年少的你》（原名重生之拯救大佬计划，校园X救赎X治愈，风靡全网的高口碑超千万点击之作！实力黑马作者钟仅高口碑成名代表作）（风炫出品）","4406","100","钟仅","江苏凤凰文艺出版社","32.10","42.80"
"271","沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之书。2021版）","97072","99.6","阎真","北京十月文艺出版社","24.50","49.00"
"272","审判（卡夫卡长篇代表作之一。钱满素、袁华清翻译）","116402","100","卡夫卡","时代文艺出版社","12.30","25.00"
"273","在你们离开以前（当当专享信纸，一本治愈两代人的生命自度书）","21408","100","毕啸南","湖南文艺出版社","24.00","48.00"
"274","向上生长（九边作品。让选择变得精准，让机遇不再错失。 悉数解决人生困惑问题，实现向上生长。）","128801","100","九边","贵州人民出版社","22.50","45.00"
"275","养育女孩（新版）","482272","99.9","史蒂夫・比达尔夫","中信出版社","19.90","39.80"
"276","不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本","8879","100","项华","北京联合出版有限公司","39.00","52.00"
"277","罗尔德・达尔作品典藏 了不起的狐狸爸爸","634852","99.9","罗尔德・达尔","明天出版社","7.50","15.00"
"278","逻辑学入门：清晰思考、理性生活的88个逻辑学常识","47506","100","格桑","中国纺织出版社","40.70","42.80"
"279","乌克兰2000年史：欧洲之门・新思文库","2765","100","沙希利・浦洛基","中信出版社","66.00","88.00"
"280","亲密关系（第6版）","74436","99.9","罗兰・米勒","人民邮电出版社","89.70","138.00"
"281","局外人・鼠疫（诺奖得主加缪两大代表作《局外人》《鼠疫》。翻译家李玉民翻译，拓展性注释，阅读不卡顿）","126289","99.9","�z法�{阿尔贝・加缪","时代文艺出版社","15.60","33.00"
"282","二次成长（我们90%的爱与痛都与心理水平处于婴儿阶段有关。如果人生可以重来，我们该如何长大？B站人气UP主“安慰记心理小店”作品。）","3332","100","王瑞","水利水电出版社","25.20","56.00"
"283","二十四史少年精编版（套装全4册）萃取纯正精华，来自浩如烟海的中华典藏！","30145","100","何孝荣","青岛出版社","78.00","156.00"
"284","不可以（直木奖得主道尾秀介超越东野圭吾的推理力作！高能反转，悬疑烧脑。）","981","99.9","道尾秀介","四川文艺出版社","26.00","52.00"
"285","信谊世界精选图画书-爷爷一定有办法","55388","100","菲比・吉尔曼","明天出版社","25.20","42.80"
