index,title,reviews,recommends,authors,price_n,price_r
"82","阿Q正传（收录鲁迅《阿Q正传》《狂人日记》《药》等17个中短篇小说）","211369条评论","99.6%推荐","鲁迅","北京联合出版公司","9.40","20.00"
"83","见识城邦・人类简史：从动物到上帝（新版）","715233条评论","99.9%推荐","尤瓦尔・赫拉利","中信出版社","46.90","68.00"
"84","苏东坡传（林语堂纪念典藏精装版）","625733条评论","99.9%推荐","林语堂","湖南文艺出版社","23.40","52.00"
"85","走遍世界 图说天下 寻梦之旅","149716条评论","100%推荐","王秀莉","四川人民出版社","22.10","29.90"
"86","霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的所有可能）","812256条评论","100%推荐","哥伦比亚","南海出版公司","49.60","69.00"
"87","悲惨世界（法国大文豪雨果“命运三部曲”之一，未删节全译版）","93601条评论","99.9%推荐","维克多・雨果","作家出版社","41.40","88.00"
"88","万物由来科学绘本 写给孩子的科普绘本","285806条评论","100%推荐","项华","北京联合出版有限公司","35.70","42.00"
"89","如何让你爱的人爱上你 (你相信吗？你爱的人一定会爱上你！一本神奇之书让你见证奇迹)","149562条评论","99.8%推荐","莉尔","上海社会科学院出版社","23.40","46.80"
"90","有钱人和你想的不一样（2020版，教会你有钱人和穷人不一样的17种思考方式和行为）","114796条评论","99.9%推荐","哈维・艾克","湖南文艺出版社","20.30","45.00"
"91","皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命）","1223118条评论","99.9%推荐","蔡崇达","天津人民出版社","24.90","49.80"
"92","这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正版，朱永新教授、周成虎院士推荐，畅销500万册)","703805条评论","99.9%推荐","高春香","海豚出版社","75.00","150.00"
"93","魅影 : 中国古代神灵志异图鉴","3790条评论","99.9%推荐","林屋公子","万卷出版公司","68.00","68.00"
"94","罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白里拷打出罪恶，也能从罪恶中拷打出洁白）","26711条评论","99.9%推荐","陀思妥耶夫斯基","台海出版社","40.00","58.00"
"95","学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园情绪管理与时间管理绘本）","200398条评论","99.9%推荐","歪歪兔关键期早教项目组","海豚出版社","44.00","88.00"
"96","一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）","214260条评论","100%推荐","乔治・奥威尔","时代文艺出版社","12.50","32.00"
"97","在峡江的转弯处：陈行甲人生笔记","59129条评论","100%推荐","陈行甲","人民日报出版社","24.00","48.00"
"98","丁香妈妈科学养育：百位医生给新手妈妈的育儿解决方案","18093条评论","99.9%推荐","丁香妈妈","中信出版社","74.20","99.00"
"99","天幕红尘（热播电视剧天道原著畅销遥远的救世主作者豆豆三部曲之一作家出版社）","15171条评论","99.9%推荐","豆豆","作家出版社","24.00","48.00"
"100","人间词话（王国维先生的代表作，近代较富盛名的词话著作）","572930条评论","99.9%推荐","王国维","北京联合出版公司","14.00","29.80"
"101","沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选”！依据王小波手稿、生前定稿修订多年讹误，SHOU度以读者视角排定蕞佳阅读顺序。）","313691条评论","100%推荐","王小波","北京十月文艺出版社","29.50","59.00"
"102","心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常规思维，培养创新意识）丁虹绘本馆出品[3-6岁]","51427条评论","100%推荐","福田纯子","海豚出版社","29.90","59.80"
"103","钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。)","406698条评论","99.8%推荐","渡边淳一","青岛出版社","16.00","32.00"
"104","儒林外史(56回全本，内容考证、文字句读全新修订版)","307526条评论","99.7%推荐","吴敬梓","花山文艺出版社","11.80","25.00"
"105","边城（沈从文代表作）","184979条评论","100%推荐","沈从文","中国友谊出版公司","15.70","32.00"
"106","丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）","136649条评论","99.9%推荐","莫言","浙江文艺出版社","31.10","69.00"
"107","小金鱼逃走了","235370条评论","100%推荐","五味太郎","新星出版社","17.50","35.00"
"108","神奇校车・桥梁书版（全20册）","1292178条评论","99.9%推荐","乔安娜柯尔","贵州人民出版社","75.00","150.00"
"109","富爸爸穷爸爸（新版本）当当投资理财类图书！本版随书附赠价值198元的“小白财商在线课程”","516449条评论","100%推荐","罗伯特・清崎","四川人民出版社","40.10","89.00"
"110","天堂旅行团（当当专享寄语印签环衬+精编小册子，继《全世界》《云边》之后，张嘉佳新书2021全新长篇力作）","67872条评论","100%推荐","张嘉佳","湖南文艺出版社","26.40","48.00"
"111","受害者游戏（女版东野圭吾 , 继《圣母》《暗黑女子》后又一力作，神反转日本推理悬疑）","2148条评论","99.9%推荐","秋吉理香子","中国友谊出版公司","17.90","39.80"
"112","窗边的小豆豆(2018版)","1512706条评论","99.9%推荐","黑柳彻子","南海出版公司","31.20","39.50"
"113","理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆借阅榜首位）","16882条评论","100%推荐","柏拉图","民主与建设出版社","38.60","56.00"
"114","钱穆谈中国历史文化：中国历史精神","116611条评论","100%推荐","钱穆","贵州人民出版社","12.70","26.00"
"115","我失去你的那一天（当当专享亲笔签名版+寄语照片卡，陪伴千万人的人气电台主持人、畅销书作家蕊希重磅新作）","17086条评论","100%推荐","蕊希","湖南文艺出版社","24.90","49.80"
"116","人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透、点评王国维诗词美学经典，读懂人生三境界）","23597条评论","100%推荐","王国维","万卷出版公司","34.00","68.00"
"117","枕上诗书系列  全4册套装（读ZUI美的诗，品ZUI深情的词，做更好的自己）","64901条评论","99.9%推荐","徐若央","现代出版社","49.50","180.00"
"118","半小时漫画中国史1-5（全5册）（中国史大结局！笑着笑着，大清就亡了！漫画科普开创者混子哥陈磊新作！）","64515条评论","100%推荐","陈磊","海南出版社","109.70","219.50"
"119","孩子读得懂的山海经（共3册）神话+神兽+异人国","163407条评论","100%推荐","兰梦醒","北京理工大学出版社","85.40","219.00"
"120","断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰的减法哲学","321055条评论","100%推荐","山下英子","湖南文艺出版社","20.30","45.00"
"121","东野圭吾：悲剧人偶","145133条评论","100%推荐","东野圭吾","北京十月文艺出版社","24.70","49.50"
"122","人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人生真谛，帮你重遇未知的自己，逆袭人生！）","123757条评论","99.7%推荐","宋默","团结出版社","16.40","32.80"
